	Date	Input Average	Output Average
1		20.66666667	5
2		15.66666667	12.5
3		49	17
4		40	29
5		26	3.5
6		32	16
7		71.5	17.5
8		24.66666667	39
9		43.33333333	10
10		23.33333333	24.5
11		24.33333333	13.66666667
12		20	3
13		67.5	22
14		13.5	13
15		69.5	21
16		6.666666667	92
17		50.66666667	73
18		0	16.33333333
19		72.5	21.66666667
20		3	34
21		65	4
22		65.5	67
23		11.33333333	30
24		24.66666667	16.5
25		20	10.33333333
26		0	21.25
27		50.33333333	21
28		53.5	91
29		3	18.66666667
30		44.5	0
31		48.66666667	7.666666667
32		47.66666667	4.25
33		47.66666667	2.5
34		15	18
35		65.5	5.75
36		17.33333333	26.66666667
37		32.5	14
38		56.5	33
39		40.66666667	28.33333333
40		77.5	14.25
41		5.666666667	13.5
42		5.666666667	5
43		7	54
44		64.5	5
45		92.5	54
46		99.5	20.75
47		41	14.25
48		50	7.5
49		18.66666667	68
50		58.66666667	54
51		58.33333333	36
52		26.5	43.5
53		23	6.25
54		59	24
55		41.33333333	36
56		2.333333333	22.5
57		77	19.75
58		89	32.5
59		85	10
60		37.5	3.666666667
61		31.33333333	62
62		0	21.33333333
63		86	47.5
64		52.33333333	15.5
65		66.5	32.66666667
66		9.666666667	90
67		96	0.75
68		37	13.66666667
69		59.5	24
70		31.66666667	1
71		2	28
72		22	37
73		35.5	6
74		75.5	13
75		43.33333333	2
76		26	28.5
77		85.5	25.66666667
78		53.5	1.5
79		99	34
80		54	46
81		53.66666667	6
82		10.33333333	17.5
83		32.66666667	45
84		40.33333333	0.5
85		25.33333333	5.5
86		29	5.5
87		100	44
88		66	12.66666667
89		13	72
90		76.5	1
91		90	13.75
92		12	6.25
93		39.5	66
94		23	79
95		67.5	96
96		42.5	50
97		13	6.333333333
98		34.33333333	42
99		66	3
100		88	8.666666667
101		56	12.75
102		8.333333333	17.66666667
103		14	22.25
104		24	0.5
105		50.5	3.75
106		7.333333333	61
107		97.5	0
108		16	62
109		19	1
110		32.66666667	23
111		24	27
112		47	46.5
113		57.66666667	13.25
114		30.33333333	17
115		23	38.5
116		36.5	67
117		61	23.5
118		3.5	100
119		55	5
120		47	19.33333333
121		49.33333333	4
122		9	14.33333333
123		91	22
124		60.33333333	19
125		49.66666667	83
126		82.5	6
127		51.66666667	17.25
128		90	21.33333333
129		1	21
130		49.5	45
131		91	41
132		0.333333333	26
133		6.666666667	80
134		33.5	3.5
135		22.66666667	29
136		60.33333333	12
137		58	8.666666667
138		25	32.33333333
139		81.5	22
140		61.33333333	17.5
141		87.5	5
142		84	36
143		69	53
144		38.66666667	17.25
145		23	32
146		15	30
147		63.33333333	33
148		57.66666667	1
149		21.66666667	43.5
150		8.333333333	43.5
151		33.66666667	44
152		62.66666667	40
153		7.333333333	11
154		63.5	6.25
155		54.33333333	0.75
156		65	3.666666667
157		60.33333333	16.66666667
158		22.5	11.75
159		9	21.25
160		48.5	5.5
161		24	9
162		92.5	12.5
163		11.5	62
164		34.66666667	24.5
165		88.5	5.333333333
166		0	1.666666667
167		6.5	25.33333333
168		70.5	65
169		99	61
170		84.5	12.5
171		29.33333333	1.25
172		18.66666667	63
173		45.33333333	22.66666667
174		63	11.66666667
175		89	0
176		89.5	18.25
177		66	22.33333333
178		52.33333333	94
179		44	0.75
180		48	49
181		35	32.5
182		52	9.333333333
183		50.33333333	98
184		16.33333333	26.33333333
185		70.5	41
186		6.5	2.5
187		48	32.5
188		7.333333333	22.25
189		59	0.5
190		4.5	27
191		73	26.33333333
192		58	23
193		80.5	0
194		93	22.5
195		0.333333333	37
196		0.333333333	1
197		99	42
198		31.5	8.666666667
199		89	22
200		57	13
201		46.66666667	4.5
202		26.33333333	1.666666667
203		19	3.5
204		20.5	10.5
205		1.5	2.666666667
206		16.66666667	38
207		30.33333333	73
208		22.5	17
209		7.5	4
210		22	29.33333333
211		30.5	89
212		73.5	7.25
213		50.5	3
214		31.66666667	20
215		56.33333333	23.5
216		82	94
217		77	19.5
218		31.33333333	3
219		13	14
220		53.5	77
221		36	92
222		71.5	3.666666667
223		55.66666667	9
224		46	20.5
225		63	16
226		6.5	9.5
227		0	11
228		36.66666667	4
229		94.5	34
230		65.66666667	42.5
231		39	32
232		8.666666667	89
233		28	44
234		66	22
235		52.33333333	16.75
236		63.33333333	19.33333333
237		45	20.25
238		25.33333333	14.75
239		44.66666667	1.666666667
240		38.33333333	11
241		22.66666667	18.33333333
242		95.5	27
243		91.5	38
244		62	14.25
245		39	6.666666667
246		34.66666667	6.25
247		22	29
248		56.33333333	32.5
249		40.33333333	3.5
250		27.33333333	45.5
251		47.66666667	17.66666667
252		92	18.5
253		36.33333333	24.5
254		72	10.75
255		5	7.75
256		67	57
257		90.5	14.33333333
258		47	31
259		0.333333333	61
260		39.33333333	23
261		27.66666667	31
262		31.33333333	30
263		27.66666667	39
264		66.5	6
265		56.33333333	66
266		28.33333333	2.666666667
267		72	84
268		2.666666667	25.5
269		5	77
270		90.5	6
271		4.5	0.25
272		21	44
273		37.66666667	4.333333333
274		92	55
275		76.5	32
276		9.666666667	12
277		10	1.5
278		53.66666667	74
279		53	84
280		50	79
281		60.33333333	22.66666667
282		89	21.5
283		46.66666667	22.75
284		21.33333333	21.5
285		24.5	32
286		13.5	46
287		64	78
288		3.333333333	44.5
289		36.33333333	19
290		34	36
291		9.333333333	46
292		43.66666667	31.33333333
293		25.5	7
294		85.5	9.333333333
295		77	5.5
296		68	10
297		55.33333333	23.5
298		3	72
299		58.33333333	1.666666667
300		94.5	37
301		50	19.33333333
302		72	22.66666667
303		43.5	64
304		36.5	2.75
305		94.5	18.75
306		18	61
307		62.66666667	21.66666667
308		55.5	24.5
309		17	31.5
310		18.66666667	88
311		41	45.5
312		62.66666667	46
313		80	26
314		43.33333333	6
315		45	3
316		25	33
317		28	71
318		60.33333333	36.5
319		57.5	7.75
320		83.5	78
321		19.5	31.66666667
322		96.5	5.333333333
323		13	17.25
324		63.66666667	9
325		26.5	24.5
326		20.33333333	2.333333333
327		21	11
328		68	40
329		60	20.66666667
330		44	15
331		62.66666667	33.5
332		54	12
333		5	30.66666667
334		59	44.5
335		44	87
336		5	29.66666667
337		11.33333333	39
338		42.66666667	20
339		53.33333333	21.75
340		37.5	59
341		0.666666667	8.5
342		37.66666667	37
343		17	11
344		47.5	17.25
345		89.5	12.75
346		48.33333333	31
347		8	21.25
348		46.5	38.5
349		56	31
350		30.66666667	3.5
351		14.5	14
352		79.5	13.5
353		66.33333333	20.5
354		32	26
355		35	6.25
356		11.5	5
357		7.333333333	2.25
358		60.66666667	18.66666667
359		37	23.75
360		74.5	18
361		28	32
362		12	6.5
363		20.33333333	48
364		63	11
365		25.5	14.25
366		29	49.5
367		56.66666667	18.5
368		80	13.25
369		59	29
370		49.33333333	27
371		58	15.25
372		56.5	18
373		31.66666667	31.33333333
374		50.66666667	9.333333333
375		99	8
376		54	17.5
377		49	47.5
378		41.5	22
379		48	21.75
380		0	8.5
381		61	12.75
382		52	79
383		56	32
384		55.66666667	68
385		32.33333333	0
386		39	10
387		2	1.5
388		98.5	16.25
389		0	12
390		27.33333333	44.5
391		44	18
392		62.33333333	22.75
393		9	30
394		10.33333333	23.75
395		37	28.5
396		97	47.5
397		32.33333333	31.33333333
398		61	72
399		11	89
400		44	2.75
401		44.5	78
402		51.5	13.66666667
403		57	72
404		56.66666667	3
405		0	7.5
406		46	2.666666667
407		63.33333333	13.75
408		41.66666667	4
409		19.33333333	8.5
410		71.5	10
411		53.5	34.5
412		7	65
413		64	18.33333333
414		24.33333333	26.66666667
415		41.66666667	9
416		66.33333333	56
417		57	24.75
418		34	20.33333333
419		78	14.5
420		4.5	27.66666667
421		27.66666667	8.666666667
422		8	24.66666667
423		10.66666667	100
424		23.66666667	13.25
425		61	3.5
426		36	20.66666667
427		48.33333333	0
428		20	24.66666667
429		78	6.333333333
430		64.66666667	3.666666667
431		87.5	80
432		44.66666667	77
433		43.33333333	31.33333333
434		23	14.33333333
435		72	2.333333333
436		52	100
437		37.5	28
438		27.5	30
439		38.5	29.66666667
440		16.33333333	45
441		33	11.25
442		53.5	77
443		4.5	9.333333333
444		98.5	44
445		15	25
446		87.5	22
447		90	7.25
448		34.33333333	32.5
449		83	21.5
450		70	45
451		36.66666667	38
452		13.33333333	1.666666667
453		63.33333333	17
454		46.66666667	8
455		37.5	41.5
456		23.33333333	48
457		27	7.5
458		95.5	97
459		82.5	27.5
460		100	10
461		72.5	15
462		36.5	12
463		11	22
464		34.66666667	30
465		25.66666667	15.25
466		22	4.5
467		33.66666667	39.5
468		20.66666667	32.66666667
469		12	18.33333333
470		45.5	16
471		77	20.66666667
472		80.5	22.5
473		62.66666667	16
474		78	8
475		23.66666667	29.66666667
476		6.333333333	22.25
477		25	1.75
478		13	9.333333333
479		29.5	18
480		77	48.5
481		86	96
482		38.5	2.75
483		14	9.25
484		18.66666667	3
485		4.666666667	20
486		16.5	36
487		49.33333333	18.25
488		27	7.75
489		37.33333333	44.5
490		40.5	9.5
491		47.66666667	7.5
492		52.5	30.5
493		23	3.75
494		78	3
495		1	4.666666667
496		31	3
497		56	98
498		60.5	12
499		23.5	85
500		52	85
