Filtered Input/Output Average
		Input Average	Output Average
1		20.666667	5.000000
2		15.666667	12.500000
3		49.000000	17.000000
4		40.000000	29.000000
5		26.000000	3.500000
6		32.000000	16.000000
7		71.500000	17.500000
9		43.333333	10.000000
11		24.333333	13.666667
12		20.000000	3.000000
13		67.500000	22.000000
14		13.500000	13.000000
15		69.500000	21.000000
19		72.500000	21.666667
21		65.000000	4.000000
24		24.666667	16.500000
25		20.000000	10.333333
27		50.333333	21.000000
30		44.500000	0.000000
31		48.666667	7.666667
32		47.666667	4.250000
33		47.666667	2.500000
35		65.500000	5.750000
37		32.500000	14.000000
38		56.500000	33.000000
39		40.666667	28.333333
40		77.500000	14.250000
42		5.666667	5.000000
44		64.500000	5.000000
45		92.500000	54.000000
46		99.500000	20.750000
47		41.000000	14.250000
48		50.000000	7.500000
50		58.666667	54.000000
51		58.333333	36.000000
53		23.000000	6.250000
54		59.000000	24.000000
55		41.333333	36.000000
57		77.000000	19.750000
58		89.000000	32.500000
59		85.000000	10.000000
60		37.500000	3.666667
63		86.000000	47.500000
64		52.333333	15.500000
65		66.500000	32.666667
67		96.000000	0.750000
68		37.000000	13.666667
69		59.500000	24.000000
70		31.666667	1.000000
73		35.500000	6.000000
74		75.500000	13.000000
75		43.333333	2.000000
77		85.500000	25.666667
78		53.500000	1.500000
79		99.000000	34.000000
80		54.000000	46.000000
81		53.666667	6.000000
84		40.333333	0.500000
85		25.333333	5.500000
86		29.000000	5.500000
87		100.000000	44.000000
88		66.000000	12.666667
90		76.500000	1.000000
91		90.000000	13.750000
92		12.000000	6.250000
97		13.000000	6.333333
99		66.000000	3.000000
100		88.000000	8.666667
101		56.000000	12.750000
104		24.000000	0.500000
105		50.500000	3.750000
107		97.500000	0.000000
109		19.000000	1.000000
110		32.666667	23.000000
112		47.000000	46.500000
113		57.666667	13.250000
114		30.333333	17.000000
117		61.000000	23.500000
119		55.000000	5.000000
120		47.000000	19.333333
121		49.333333	4.000000
123		91.000000	22.000000
124		60.333333	19.000000
126		82.500000	6.000000
127		51.666667	17.250000
128		90.000000	21.333333
130		49.500000	45.000000
131		91.000000	41.000000
134		33.500000	3.500000
136		60.333333	12.000000
137		58.000000	8.666667
139		81.500000	22.000000
140		61.333333	17.500000
141		87.500000	5.000000
142		84.000000	36.000000
143		69.000000	53.000000
144		38.666667	17.250000
147		63.333333	33.000000
148		57.666667	1.000000
152		62.666667	40.000000
154		63.500000	6.250000
155		54.333333	0.750000
156		65.000000	3.666667
157		60.333333	16.666667
158		22.500000	11.750000
160		48.500000	5.500000
161		24.000000	9.000000
162		92.500000	12.500000
164		34.666667	24.500000
165		88.500000	5.333333
168		70.500000	65.000000
169		99.000000	61.000000
170		84.500000	12.500000
171		29.333333	1.250000
173		45.333333	22.666667
174		63.000000	11.666667
175		89.000000	0.000000
176		89.500000	18.250000
177		66.000000	22.333333
179		44.000000	0.750000
181		35.000000	32.500000
182		52.000000	9.333333
185		70.500000	41.000000
186		6.500000	2.500000
187		48.000000	32.500000
189		59.000000	0.500000
191		73.000000	26.333333
192		58.000000	23.000000
193		80.500000	0.000000
194		93.000000	22.500000
197		99.000000	42.000000
198		31.500000	8.666667
199		89.000000	22.000000
200		57.000000	13.000000
201		46.666667	4.500000
202		26.333333	1.666667
203		19.000000	3.500000
204		20.500000	10.500000
208		22.500000	17.000000
209		7.500000	4.000000
212		73.500000	7.250000
213		50.500000	3.000000
214		31.666667	20.000000
215		56.333333	23.500000
217		77.000000	19.500000
218		31.333333	3.000000
222		71.500000	3.666667
223		55.666667	9.000000
224		46.000000	20.500000
225		63.000000	16.000000
228		36.666667	4.000000
229		94.500000	34.000000
230		65.666667	42.500000
231		39.000000	32.000000
234		66.000000	22.000000
235		52.333333	16.750000
236		63.333333	19.333333
237		45.000000	20.250000
238		25.333333	14.750000
239		44.666667	1.666667
240		38.333333	11.000000
241		22.666667	18.333333
242		95.500000	27.000000
243		91.500000	38.000000
244		62.000000	14.250000
245		39.000000	6.666667
246		34.666667	6.250000
248		56.333333	32.500000
249		40.333333	3.500000
251		47.666667	17.666667
252		92.000000	18.500000
253		36.333333	24.500000
254		72.000000	10.750000
256		67.000000	57.000000
257		90.500000	14.333333
258		47.000000	31.000000
260		39.333333	23.000000
262		31.333333	30.000000
264		66.500000	6.000000
266		28.333333	2.666667
270		90.500000	6.000000
271		4.500000	0.250000
273		37.666667	4.333333
274		92.000000	55.000000
275		76.500000	32.000000
277		10.000000	1.500000
281		60.333333	22.666667
282		89.000000	21.500000
283		46.666667	22.750000
289		36.333333	19.000000
292		43.666667	31.333333
293		25.500000	7.000000
294		85.500000	9.333333
295		77.000000	5.500000
296		68.000000	10.000000
297		55.333333	23.500000
299		58.333333	1.666667
300		94.500000	37.000000
301		50.000000	19.333333
302		72.000000	22.666667
304		36.500000	2.750000
305		94.500000	18.750000
307		62.666667	21.666667
308		55.500000	24.500000
312		62.666667	46.000000
313		80.000000	26.000000
314		43.333333	6.000000
315		45.000000	3.000000
318		60.333333	36.500000
319		57.500000	7.750000
320		83.500000	78.000000
322		96.500000	5.333333
324		63.666667	9.000000
325		26.500000	24.500000
326		20.333333	2.333333
327		21.000000	11.000000
328		68.000000	40.000000
329		60.000000	20.666667
330		44.000000	15.000000
331		62.666667	33.500000
332		54.000000	12.000000
334		59.000000	44.500000
338		42.666667	20.000000
339		53.333333	21.750000
342		37.666667	37.000000
343		17.000000	11.000000
344		47.500000	17.250000
345		89.500000	12.750000
346		48.333333	31.000000
348		46.500000	38.500000
349		56.000000	31.000000
350		30.666667	3.500000
351		14.500000	14.000000
352		79.500000	13.500000
353		66.333333	20.500000
354		32.000000	26.000000
355		35.000000	6.250000
356		11.500000	5.000000
357		7.333333	2.250000
358		60.666667	18.666667
359		37.000000	23.750000
360		74.500000	18.000000
362		12.000000	6.500000
364		63.000000	11.000000
365		25.500000	14.250000
367		56.666667	18.500000
368		80.000000	13.250000
369		59.000000	29.000000
370		49.333333	27.000000
371		58.000000	15.250000
372		56.500000	18.000000
373		31.666667	31.333333
374		50.666667	9.333333
375		99.000000	8.000000
376		54.000000	17.500000
377		49.000000	47.500000
378		41.500000	22.000000
379		48.000000	21.750000
381		61.000000	12.750000
383		56.000000	32.000000
385		32.333333	0.000000
386		39.000000	10.000000
387		2.000000	1.500000
388		98.500000	16.250000
391		44.000000	18.000000
392		62.333333	22.750000
395		37.000000	28.500000
396		97.000000	47.500000
397		32.333333	31.333333
400		44.000000	2.750000
402		51.500000	13.666667
404		56.666667	3.000000
406		46.000000	2.666667
407		63.333333	13.750000
408		41.666667	4.000000
409		19.333333	8.500000
410		71.500000	10.000000
411		53.500000	34.500000
413		64.000000	18.333333
415		41.666667	9.000000
416		66.333333	56.000000
417		57.000000	24.750000
418		34.000000	20.333333
419		78.000000	14.500000
421		27.666667	8.666667
424		23.666667	13.250000
425		61.000000	3.500000
426		36.000000	20.666667
427		48.333333	0.000000
429		78.000000	6.333333
430		64.666667	3.666667
431		87.500000	80.000000
433		43.333333	31.333333
434		23.000000	14.333333
435		72.000000	2.333333
437		37.500000	28.000000
439		38.500000	29.666667
441		33.000000	11.250000
444		98.500000	44.000000
446		87.500000	22.000000
447		90.000000	7.250000
448		34.333333	32.500000
449		83.000000	21.500000
450		70.000000	45.000000
452		13.333333	1.666667
453		63.333333	17.000000
454		46.666667	8.000000
457		27.000000	7.500000
459		82.500000	27.500000
460		100.000000	10.000000
461		72.500000	15.000000
462		36.500000	12.000000
464		34.666667	30.000000
465		25.666667	15.250000
466		22.000000	4.500000
470		45.500000	16.000000
471		77.000000	20.666667
472		80.500000	22.500000
473		62.666667	16.000000
474		78.000000	8.000000
477		25.000000	1.750000
478		13.000000	9.333333
479		29.500000	18.000000
480		77.000000	48.500000
482		38.500000	2.750000
483		14.000000	9.250000
484		18.666667	3.000000
487		49.333333	18.250000
488		27.000000	7.750000
490		40.500000	9.500000
491		47.666667	7.500000
492		52.500000	30.500000
493		23.000000	3.750000
494		78.000000	3.000000
496		31.000000	3.000000
498		60.500000	12.000000

Sum of Input Average : 18052.500000
Average of Input Average : 53.727679

Sum of Output Average : 5839.416667
Average of Output Average : 17.379216

Total Reception Rate : 0.323469

1 Reception Rate 0.241935
2 Reception Rate 0.797872
3 Reception Rate 0.346939
4 Reception Rate 0.725000
5 Reception Rate 0.134615
6 Reception Rate 0.500000
7 Reception Rate 0.244755
9 Reception Rate 0.230769
11 Reception Rate 0.561644
12 Reception Rate 0.150000
13 Reception Rate 0.325926
14 Reception Rate 0.962963
15 Reception Rate 0.302158
19 Reception Rate 0.298851
21 Reception Rate 0.061538
24 Reception Rate 0.668919
25 Reception Rate 0.516667
27 Reception Rate 0.417219
30 Reception Rate 0.000000
31 Reception Rate 0.157534
32 Reception Rate 0.089161
33 Reception Rate 0.052448
35 Reception Rate 0.087786
37 Reception Rate 0.430769
38 Reception Rate 0.584071
39 Reception Rate 0.696721
40 Reception Rate 0.183871
42 Reception Rate 0.882353
44 Reception Rate 0.077519
45 Reception Rate 0.583784
46 Reception Rate 0.208543
47 Reception Rate 0.347561
48 Reception Rate 0.150000
50 Reception Rate 0.920455
51 Reception Rate 0.617143
53 Reception Rate 0.271739
54 Reception Rate 0.406780
55 Reception Rate 0.870968
57 Reception Rate 0.256494
58 Reception Rate 0.365169
59 Reception Rate 0.117647
60 Reception Rate 0.097778
63 Reception Rate 0.552326
64 Reception Rate 0.296178
65 Reception Rate 0.491228
67 Reception Rate 0.007812
68 Reception Rate 0.369369
69 Reception Rate 0.403361
70 Reception Rate 0.031579
73 Reception Rate 0.169014
74 Reception Rate 0.172185
75 Reception Rate 0.046154
77 Reception Rate 0.300195
78 Reception Rate 0.028037
79 Reception Rate 0.343434
80 Reception Rate 0.851852
81 Reception Rate 0.111801
84 Reception Rate 0.012397
85 Reception Rate 0.217105
86 Reception Rate 0.189655
87 Reception Rate 0.440000
88 Reception Rate 0.191919
90 Reception Rate 0.013072
91 Reception Rate 0.152778
92 Reception Rate 0.520833
97 Reception Rate 0.487179
99 Reception Rate 0.045455
100 Reception Rate 0.098485
101 Reception Rate 0.227679
104 Reception Rate 0.020833
105 Reception Rate 0.074257
107 Reception Rate 0.000000
109 Reception Rate 0.052632
110 Reception Rate 0.704082
112 Reception Rate 0.989362
113 Reception Rate 0.229769
114 Reception Rate 0.560440
117 Reception Rate 0.385246
119 Reception Rate 0.090909
120 Reception Rate 0.411348
121 Reception Rate 0.081081
123 Reception Rate 0.241758
124 Reception Rate 0.314917
126 Reception Rate 0.072727
127 Reception Rate 0.333871
128 Reception Rate 0.237037
130 Reception Rate 0.909091
131 Reception Rate 0.450549
134 Reception Rate 0.104478
136 Reception Rate 0.198895
137 Reception Rate 0.149425
139 Reception Rate 0.269939
140 Reception Rate 0.285326
141 Reception Rate 0.057143
142 Reception Rate 0.428571
143 Reception Rate 0.768116
144 Reception Rate 0.446121
147 Reception Rate 0.521053
148 Reception Rate 0.017341
152 Reception Rate 0.638298
154 Reception Rate 0.098425
155 Reception Rate 0.013804
156 Reception Rate 0.056410
157 Reception Rate 0.276243
158 Reception Rate 0.522222
160 Reception Rate 0.113402
161 Reception Rate 0.375000
162 Reception Rate 0.135135
164 Reception Rate 0.706731
165 Reception Rate 0.060264
168 Reception Rate 0.921986
169 Reception Rate 0.616162
170 Reception Rate 0.147929
171 Reception Rate 0.042614
173 Reception Rate 0.500000
174 Reception Rate 0.185185
175 Reception Rate 0.000000
176 Reception Rate 0.203911
177 Reception Rate 0.338384
179 Reception Rate 0.017045
181 Reception Rate 0.928571
182 Reception Rate 0.179487
185 Reception Rate 0.581560
186 Reception Rate 0.384615
187 Reception Rate 0.677083
189 Reception Rate 0.008475
191 Reception Rate 0.360731
192 Reception Rate 0.396552
193 Reception Rate 0.000000
194 Reception Rate 0.241935
197 Reception Rate 0.424242
198 Reception Rate 0.275132
199 Reception Rate 0.247191
200 Reception Rate 0.228070
201 Reception Rate 0.096429
202 Reception Rate 0.063291
203 Reception Rate 0.184211
204 Reception Rate 0.512195
208 Reception Rate 0.755556
209 Reception Rate 0.533333
212 Reception Rate 0.098639
213 Reception Rate 0.059406
214 Reception Rate 0.631579
215 Reception Rate 0.417160
217 Reception Rate 0.253247
218 Reception Rate 0.095745
222 Reception Rate 0.051282
223 Reception Rate 0.161677
224 Reception Rate 0.445652
225 Reception Rate 0.253968
228 Reception Rate 0.109091
229 Reception Rate 0.359788
230 Reception Rate 0.647208
231 Reception Rate 0.820513
234 Reception Rate 0.333333
235 Reception Rate 0.320064
236 Reception Rate 0.305263
237 Reception Rate 0.450000
238 Reception Rate 0.582237
239 Reception Rate 0.037313
240 Reception Rate 0.286957
241 Reception Rate 0.808824
242 Reception Rate 0.282723
243 Reception Rate 0.415301
244 Reception Rate 0.229839
245 Reception Rate 0.170940
246 Reception Rate 0.180288
248 Reception Rate 0.576923
249 Reception Rate 0.086777
251 Reception Rate 0.370629
252 Reception Rate 0.201087
253 Reception Rate 0.674312
254 Reception Rate 0.149306
256 Reception Rate 0.850746
257 Reception Rate 0.158379
258 Reception Rate 0.659574
260 Reception Rate 0.584746
262 Reception Rate 0.957447
264 Reception Rate 0.090226
266 Reception Rate 0.094118
270 Reception Rate 0.066298
271 Reception Rate 0.055556
273 Reception Rate 0.115044
274 Reception Rate 0.597826
275 Reception Rate 0.418301
277 Reception Rate 0.150000
281 Reception Rate 0.375691
282 Reception Rate 0.241573
283 Reception Rate 0.487500
289 Reception Rate 0.522936
292 Reception Rate 0.717557
293 Reception Rate 0.274510
294 Reception Rate 0.109162
295 Reception Rate 0.071429
296 Reception Rate 0.147059
297 Reception Rate 0.424699
299 Reception Rate 0.028571
300 Reception Rate 0.391534
301 Reception Rate 0.386667
302 Reception Rate 0.314815
304 Reception Rate 0.075342
305 Reception Rate 0.198413
307 Reception Rate 0.345745
308 Reception Rate 0.441441
312 Reception Rate 0.734043
313 Reception Rate 0.325000
314 Reception Rate 0.138462
315 Reception Rate 0.066667
318 Reception Rate 0.604972
319 Reception Rate 0.134783
320 Reception Rate 0.934132
322 Reception Rate 0.055268
324 Reception Rate 0.141361
325 Reception Rate 0.924528
326 Reception Rate 0.114754
327 Reception Rate 0.523810
328 Reception Rate 0.588235
329 Reception Rate 0.344444
330 Reception Rate 0.340909
331 Reception Rate 0.534574
332 Reception Rate 0.222222
334 Reception Rate 0.754237
338 Reception Rate 0.468750
339 Reception Rate 0.407813
342 Reception Rate 0.982301
343 Reception Rate 0.647059
344 Reception Rate 0.363158
345 Reception Rate 0.142458
346 Reception Rate 0.641379
348 Reception Rate 0.827957
349 Reception Rate 0.553571
350 Reception Rate 0.114130
351 Reception Rate 0.965517
352 Reception Rate 0.169811
353 Reception Rate 0.309045
354 Reception Rate 0.812500
355 Reception Rate 0.178571
356 Reception Rate 0.434783
357 Reception Rate 0.306818
358 Reception Rate 0.307692
359 Reception Rate 0.641892
360 Reception Rate 0.241611
362 Reception Rate 0.541667
364 Reception Rate 0.174603
365 Reception Rate 0.558824
367 Reception Rate 0.326471
368 Reception Rate 0.165625
369 Reception Rate 0.491525
370 Reception Rate 0.547297
371 Reception Rate 0.262931
372 Reception Rate 0.318584
373 Reception Rate 0.989474
374 Reception Rate 0.184211
375 Reception Rate 0.080808
376 Reception Rate 0.324074
377 Reception Rate 0.969388
378 Reception Rate 0.530120
379 Reception Rate 0.453125
381 Reception Rate 0.209016
383 Reception Rate 0.571429
385 Reception Rate 0.000000
386 Reception Rate 0.256410
